Jurisdicción,CUE Anexo,Nombre,Sector,Estado,Ámbito,Domicilio,CP,Teléfono,Código Localidad,Localidad,Departamento,E-mail,Ed. Común,Ed. Especial,Ed. de Jóvenes y Adultos,Ed. Artística,Ed. Hospitalaria Domiciliaria,Ed. Intercultural Bilingüe,Ed. Contexto de Encierro,Jardín maternal,Jardín de infantes,Primaria,Secundaria,Secundaria Técnica (INET),Superior no Universitario,Superior No Universitario (INET),dpto_link,Address,Address_2,Address_3,lng,lat,id
Buenos Aires,60003000,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 JULIO STEVERLYNCK,Estatal,Activo,Urbano,PADRE INGLÉS 1585  ,6706,49-4996,6497022,JAUREGUI,LUJAN,secundaria2lujan@gmail.com; mm063002@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,6497,"PADRE INGLÉS 1585  , JAUREGUI, LUJAN, Buenos Aires, Argentina","PADRE INGLÉS 1585  , JAUREGUI, LUJAN, Buenos Aires, Argentina","PADRE INGLÉS 1585, LUJAN, Buenos Aires, Argentina",-59.1822276,-34.5699587,ChIJP3B9eht8vJUR1h19L79NYes
Buenos Aires,60006900,ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1,Estatal,Activo,Urbano,LARREA 1651  EL PORTEÑO,1865,False,6778008,SAN VICENTE,SAN VICENTE,secretaria.eesa1sv@gmail.com; oma0990001@abc.gov.ar,True,False,False,False,False,False,False,False,False,False,True,True,False,False,6778,"LARREA 1651  EL PORTEÑO, SAN VICENTE, SAN VICENTE, Buenos Aires, Argentina","LARREA 1651  EL PORTEÑO, SAN VICENTE, SAN VICENTE, Buenos Aires, Argentina","LARREA 1651, SAN VICENTE, Buenos Aires, Argentina",-58.4464389,-35.0155452,ChIJwe8r2z0svZUR7MCYWUaDnm4
Buenos Aires,60011000,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 MANUEL MATEO,Estatal,Activo,Urbano,QUINTANA E/ PESOA Y SAAVEDRA 129  ,1865,48-1281,6778008,SAN VICENTE,SAN VICENTE,tecnica2sanvicente@outlook.com; mt099002@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,True,False,False,6778,"QUINTANA E/ PESOA Y SAAVEDRA 129  , SAN VICENTE, SAN VICENTE, Buenos Aires, Argentina","QUINTANA 129  , SAN VICENTE, SAN VICENTE, Buenos Aires, Argentina","QUINTANA 129, SAN VICENTE, Buenos Aires, Argentina",-58.4296194,-35.0208847,ChIJuyd6bduwvJUR1Q6QnDEe1js
Buenos Aires,60018600,ESCUELA SECUNDARIA Nº5 DR. BERNARDO DE MONTEAGUDO,Estatal,Activo,Urbano,ESPORA E/ V. DE LA PLAZA Y MONTEAGUDO 265  SAN MARTIN,1672,4755-2089,6371027,VILLA LYNCH,GENERAL SAN MARTIN,ees5bernardomonteagudo@gmail.com,True,False,True,False,False,False,False,False,False,False,True,False,False,False,6371,"ESPORA E/ V. DE LA PLAZA Y MONTEAGUDO 265  SAN MARTIN, VILLA LYNCH, GENERAL SAN MARTIN, Buenos Aires, Argentina","ESPORA 265  SAN MARTIN, VILLA LYNCH, GENERAL SAN MARTIN, Buenos Aires, Argentina","ESPORA 265, GENERAL SAN MARTIN, Buenos Aires, Argentina",-58.5259341,-34.5905397,Ej5Fc3BvcmEgJiBQYWRyZSBNLiBBc2hrYXIsIFZpbGxhIEx5bmNoLCBCdWVub3MgQWlyZXMsIEFyZ2VudGluYQ
Buenos Aires,60021600,ESCUELA SECUNDARIA Nº1 BRIGADIER GRAL. JUAN F. QUIROGA,Estatal,Activo,Urbano,AV. REMIGIO LOPEZ 2551  ,1663,4455-0811,6760005,SAN MIGUEL,SAN MIGUEL,mm131001@abc.gov.ar; mm131001@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,6760,"AV. REMIGIO LOPEZ 2551  , SAN MIGUEL, SAN MIGUEL, Buenos Aires, Argentina","AV. REMIGIO LOPEZ 2551  , SAN MIGUEL, SAN MIGUEL, Buenos Aires, Argentina","AV. REMIGIO LOPEZ 2551, SAN MIGUEL, Buenos Aires, Argentina",-58.7485474,-34.5601091,ChIJ7UiWgNKXvJURzsbTXbnVL0U
Buenos Aires,60045200,ESCUELA SECUNDARIA Nº22 ROSARIO VERA PEÑALOZA,Estatal,Activo,Urbano,BALCARCE 3469  ,1653,5197871,6371004,CIUDAD VILLA BALLESTER,GENERAL SAN MARTIN,0045ms0022@gmail.com,True,False,False,False,False,False,False,False,False,False,True,False,False,False,6371,"BALCARCE 3469  , CIUDAD VILLA BALLESTER, GENERAL SAN MARTIN, Buenos Aires, Argentina","BALCARCE 3469  , CIUDAD VILLA BALLESTER, GENERAL SAN MARTIN, Buenos Aires, Argentina","BALCARCE 3469, GENERAL SAN MARTIN, Buenos Aires, Argentina",-58.5625949,-34.5544244,EjdCYWxjYXJjZSAzNDY5LCBWaWxsYSBCYWxsZXN0ZXIsIEJ1ZW5vcyBBaXJlcywgQXJnZW50aW5h
Buenos Aires,60046700,ESCUELA POLIMODAL Nº23 ADOLFO SALDIAS,Estatal,Activo,Urbano,ANDRES FERREYRA 1196  ,1706,46599371,6568003,HAEDO,MORON,biblioteca_23@yahoo.com.ar; mm100023@abc.gov.ar,True,False,False,False,False,False,False,False,False,False,True,False,False,False,6568,"ANDRES FERREYRA 1196  , HAEDO, MORON, Buenos Aires, Argentina","ANDRES FERREYRA 1196  , HAEDO, MORON, Buenos Aires, Argentina","ANDRES FERREYRA 1196, MORON, Buenos Aires, Argentina",-58.6085563,-34.6356191,Ej5BbmRyw6lzIEZlcnJleXJhIDExOTYsIEIxNzA2RFZMIEhhZWRvLCBCdWVub3MgQWlyZXMsIEFyZ2VudGluYQ
Buenos Aires,60162400,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 ALEMANIA,Estatal,Activo,Urbano,PACIFICO RODRIGUEZ 5650  ,1653,4767-6574,6371004,CIUDAD VILLA BALLESTER,GENERAL SAN MARTIN,eest2alemaniasm@gmail.com; mt045002@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,True,False,False,6371,"PACIFICO RODRIGUEZ 5650  , CIUDAD VILLA BALLESTER, GENERAL SAN MARTIN, Buenos Aires, Argentina","PACIFICO RODRIGUEZ 5650  , CIUDAD VILLA BALLESTER, GENERAL SAN MARTIN, Buenos Aires, Argentina","PACIFICO RODRIGUEZ 5650, GENERAL SAN MARTIN, Buenos Aires, Argentina",-58.561303,-34.5437689,EkNQYWPDrWZpY28gUm9kcsOtZ3VleiA1NjUwLCBWaWxsYSBCYWxsZXN0ZXIsIEJ1ZW5vcyBBaXJlcywgQXJnZW50aW5h
Buenos Aires,60164300,ESCUELA SECUNDARIA Nº1,Estatal,Activo,Urbano,AVDA. MITRE E/ ELIZALDE Y OBLIGADO 2125  SARANDI,1872,4205-4397,6035001,AVELLANEDA,AVELLANEDA,ees1avell@yahoo.com.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,6035,"AVDA. MITRE E/ ELIZALDE Y OBLIGADO 2125  SARANDI, AVELLANEDA, AVELLANEDA, Buenos Aires, Argentina","AVDA. MITRE 2125  SARANDI, AVELLANEDA, AVELLANEDA, Buenos Aires, Argentina","AVDA. MITRE 2125, AVELLANEDA, Buenos Aires, Argentina",-58.3420972,-34.6839359,ChIJJcPEKxwzo5URfRfRfLXBx-k
Buenos Aires,60241300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 VALENTIN ALSINA,Estatal,Activo,Urbano,JOSE I RUCCI E/ TUYUTI Y R.ESCALADA 958  ,1822,4208-9783,6434008,VALENTIN ALSINA,LANUS,e.e.m.1.lanus@gmail.com; omm1110001@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,6434,"JOSE I RUCCI E/ TUYUTI Y R.ESCALADA 958  , VALENTIN ALSINA, LANUS, Buenos Aires, Argentina","JOSE I RUCCI 958  , VALENTIN ALSINA, LANUS, Buenos Aires, Argentina","JOSE I RUCCI 958, LANUS, Buenos Aires, Argentina",-58.408102,-34.6746078,Ek5UdXnDunRpICYgSm9zw6kgSWduYWNpbyBSdWNjaSwgQjE4MjIgVmFsZW50w61uIEFsc2luYSwgQnVlbm9zIEFpcmVzLCBBcmdlbnRpbmE
