Jurisdicción,CUE Anexo,Nombre,Sector,Estado,Ámbito,Domicilio,CP,Teléfono,Código Localidad,Localidad,Departamento,E-mail,Ed. Común,Ed. Especial,Ed. de Jóvenes y Adultos,Ed. Artística,Ed. Hospitalaria Domiciliaria,Ed. Intercultural Bilingüe,Ed. Contexto de Encierro,Jardín maternal,Jardín de infantes,Primaria,Secundaria,Secundaria Técnica (INET),Superior no Universitario,Superior No Universitario (INET),dpto_link,Address,Address_2,Address_3,lng,lat,id
Buenos Aires,61819800,ESC. SECUNDARIA Nº9,Estatal,Activo,Urbano,CASTELAR S/N (ESQ.RIVERA 3300) 3300  ,1714,4624-7695,6410002,ITUZAINGO,ITUZAINGO,leobrunen@gmail.com,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06410,"CASTELAR S/N (ESQ.RIVERA 3300) 3300  , ITUZAINGO, ITUZAINGO, Buenos Aires, Argentina","CASTELAR S/N (ESQ.RIVERA 3300) 3300  , ITUZAINGO, ITUZAINGO, Buenos Aires, Argentina","CASTELAR , ITUZAINGO, Buenos Aires, Argentina",-58.7053909,-34.6420696,EkxHcmFsLiBGcnVjdHVvc28gUml2ZXJhICYgQ2FzdGVsYXIsIEIxNzE0IEl0dXphaW5nw7MsIEJ1ZW5vcyBBaXJlcywgQXJnZW50aW5h
Buenos Aires,61819900,ESCUELA SECUNDARIA Nº11,Estatal,Activo,Urbano,CAAGUAZU ESQ. 24 DE OCTUBRE 910  ,1714,4623-9723,6410002,ITUZAINGO,ITUZAINGO,secundaria11ituzaingo@yahoo.com.ar,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06410,"CAAGUAZU ESQ. 24 DE OCTUBRE 910  , ITUZAINGO, ITUZAINGO, Buenos Aires, Argentina","CAAGUAZU ESQ. 24 DE OCTUBRE 910  , ITUZAINGO, ITUZAINGO, Buenos Aires, Argentina","CAAGUAZU ESQ. 24 DE OCTUBRE 910, ITUZAINGO, Buenos Aires, Argentina",-58.6823619,-34.6702206,EkQyNCBkZSBPY3R1YnJlICYgQ2FhZ3VhesO6LCBCMTcxNCBJdHV6YWluZ8OzLCBCdWVub3MgQWlyZXMsIEFyZ2VudGluYQ
Buenos Aires,61820100,ESCUELA SECUNDARIA Nº11 SARGENTO CABRAL,Estatal,Activo,Urbano,MALASPINA (E/VERDI Y SHUBERT) 1041  ,1686,4452-2195,6408002,HURLINGHAM,HURLINGHAM,0135ms0011@gmail.com,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06408,"MALASPINA (E/VERDI Y SHUBERT) 1041  , HURLINGHAM, HURLINGHAM, Buenos Aires, Argentina","MALASPINA (1041  , HURLINGHAM, HURLINGHAM, Buenos Aires, Argentina","MALASPINA (1041, HURLINGHAM, Buenos Aires, Argentina",-58.6412857,-34.6044407,Ej1BbGVqYW5kcm8gTWFsYXNwaW5hIDEwNDEsIEh1cmxpbmdoYW0sIEJ1ZW5vcyBBaXJlcywgQXJnZW50aW5h
Buenos Aires,61820200,ESCUELA SECUNDARIA Nº12,Estatal,Activo,Urbano,ORAN ESQ. LA PIEDAD 2070  ,1714,4624-7714,6410002,ITUZAINGO,ITUZAINGO,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06410,"ORAN ESQ. LA PIEDAD 2070  , ITUZAINGO, ITUZAINGO, Buenos Aires, Argentina","ORAN ESQ. LA PIEDAD 2070  , ITUZAINGO, ITUZAINGO, Buenos Aires, Argentina","ORAN ESQ. LA PIEDAD 2070, ITUZAINGO, Buenos Aires, Argentina",-58.6792401,-34.6387106,EjZPcsOhbiAmIExhIFBpZWRhZCwgSXR1emFpbmfDsywgQnVlbm9zIEFpcmVzLCBBcmdlbnRpbmE
Buenos Aires,61820300,ESC. SECUNDARIA BASICA Nº36 JOHN F. KENNEDY,Estatal,Activo,Urbano,MARGARITA CORVALAN 1180  ,1706,4443-6662,6568003,HAEDO,MORON,elbazuly@gmail.com; obs1000036@abc.gov.ar,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06568,"MARGARITA CORVALAN 1180  , HAEDO, MORON, Buenos Aires, Argentina","MARGARITA CORVALAN 1180  , HAEDO, MORON, Buenos Aires, Argentina","MARGARITA CORVALAN 1180, MORON, Buenos Aires, Argentina",-58.6064025,-34.6312808,EkVNYXJnYXJpdGEgQ29ydmFsYW4gMTE4MCwgQjE2ODVDREggRWwgUGFsb21hciwgQnVlbm9zIEFpcmVzLCBBcmdlbnRpbmE
Buenos Aires,61820400,ESCUELA SECUNDARIA Nº39,Estatal,Activo,Urbano,CAÑADA DE JUAN RUIZ 320  ,1712,4483-0255,6568001,CASTELAR,MORON,obs1000037@abc.gov.ar,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06568,"CAÑADA DE JUAN RUIZ 320  , CASTELAR, MORON, Buenos Aires, Argentina","CAÑADA DE JUAN RUIZ 320  , CASTELAR, MORON, Buenos Aires, Argentina","CAÑADA DE JUAN RUIZ 320, MORON, Buenos Aires, Argentina",-58.6281339,-34.6475412,ChIJa89usKC4vJURsfhsvbuc7IY
Buenos Aires,61820500,ESC. SECUNDARIA Nº8,Estatal,Activo,Urbano,DEL CABESTRO E/ SARMIENTO Y L. CARO 350  ,1713,4621-0238,6410003,VILLA GOBERNADOR UDAONDO,ITUZAINGO,alenocera@hotmail.com,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06410,"DEL CABESTRO E/ SARMIENTO Y L. CARO 350  , VILLA GOBERNADOR UDAONDO, ITUZAINGO, Buenos Aires, Argentina","DEL CABESTRO 350  , VILLA GOBERNADOR UDAONDO, ITUZAINGO, Buenos Aires, Argentina","DEL CABESTRO 350, ITUZAINGO, Buenos Aires, Argentina",-58.6952309,-34.6009241,EjtEZWwgQ2FiZXN0cm8gMzUwLCBCMTcxM0NPSiBVZGFvbmRvLCBCdWVub3MgQWlyZXMsIEFyZ2VudGluYQ
Buenos Aires,61820600,ESC. SECUNDARIA BASICA Nº62,Estatal,Activo,Urbano,POTOSI E/CASTRO Y MORENO 2651  VILLA JARDIN,1822,4228-5545,6434012,LANUS,LANUS,sb62lanus@hotmail.com; obs1110062@abc.gov.ar,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06434,"POTOSI E/CASTRO Y MORENO 2651  VILLA JARDIN, LANUS, LANUS, Buenos Aires, Argentina","POTOSI 2651  VILLA JARDIN, LANUS, LANUS, Buenos Aires, Argentina","POTOSI 2651, LANUS, Buenos Aires, Argentina",-58.4300877,-34.6739114,ChIJ44HqdHfMvJURrz25xib7YPk
Buenos Aires,61820700,ESCUELA SECUNDARIA Nº33,Estatal,Activo,Urbano,75 E/ 124 Y 125 S/N  LAS HERMANAS,1890,45-5552,6091007,JUAN MARIA GUTIERREZ,BERAZATEGUI,esb27berazategui@hotmail.com; obs1190027@abc.gov.ar,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06091,"75 E/ 124 Y 125 S/N  LAS HERMANAS, JUAN MARIA GUTIERREZ, BERAZATEGUI, Buenos Aires, Argentina","75 75 E/ 124 Y 125 S/N  LAS HERMANAS, JUAN MARIA GUTIERREZ, BERAZATEGUI, Buenos Aires, Argentina","75 75 E/ 124 Y 125 , BERAZATEGUI, Buenos Aires, Argentina",-58.1713172,-34.8272857,ChIJm6rMM_Ino5URwD_VWl8nRXM
Buenos Aires,61820900,ESCUELA SECUNDARIA Nº23,Estatal,Activo,Urbano,163 E/ 23 Y 24 S/N  BARRIO JACARANDA,1884,4395-2565,6091001,BERAZATEGUI,BERAZATEGUI,secundaria23begui@yahoo.com.ar,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06091,"163 E/ 23 Y 24 S/N  BARRIO JACARANDA, BERAZATEGUI, BERAZATEGUI, Buenos Aires, Argentina","163 163 E/ 23 Y 24 S/N  BARRIO JACARANDA, BERAZATEGUI, BERAZATEGUI, Buenos Aires, Argentina","163 163 E/ 23 Y 24 , BERAZATEGUI, Buenos Aires, Argentina",-58.2462586,-34.7942608,ChIJ1fSGV8Qoo5URuqyxuTeH-qM
