Jurisdicción,CUE Anexo,Nombre,Sector,Estado,Ámbito,Domicilio,CP,Teléfono,Código Localidad,Localidad,Departamento,E-mail,Ed. Común,Ed. Especial,Ed. de Jóvenes y Adultos,Ed. Artística,Ed. Hospitalaria Domiciliaria,Ed. Intercultural Bilingüe,Ed. Contexto de Encierro,Jardín maternal,Jardín de infantes,Primaria,Secundaria,Secundaria Técnica (INET),Superior no Universitario,Superior No Universitario (INET),dpto_link,Address,Address_2,Address_3,lng,lat,id
Buenos Aires,61134200,ESCUELA SECUNDARIA Nº7 LUIS F LELOIR,Estatal,Activo,Urbano,ARENALES /CHACABUCO Y V.LINIERS 1945  ,1602,4797-4189,6861004,FLORIDA,VICENTE LOPEZ,ees7vicentelopez@hotmail.com,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06861,"ARENALES /CHACABUCO Y V.LINIERS 1945  , FLORIDA, VICENTE LOPEZ, Buenos Aires, Argentina","ARENALES /CHACABUCO Y V.LINIERS 1945  , FLORIDA, VICENTE LOPEZ, Buenos Aires, Argentina","ARENALES /CHACABUCO Y V.LINIERS 1945, VICENTE LOPEZ, Buenos Aires, Argentina",,,
Buenos Aires,61135500,ESCUELA SECUNDARIA Nº2 CNEL DE MARI MARTIN J THOMPSON,Estatal,Activo,Urbano,CONCORDIA 1290  ,1888,4221-3677,6274001,BOSQUES,FLORENCIO VARELA,secundaria2f@gmail.com,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06274,"CONCORDIA 1290  , BOSQUES, FLORENCIO VARELA, Buenos Aires, Argentina","CONCORDIA 1290  , BOSQUES, FLORENCIO VARELA, Buenos Aires, Argentina","CONCORDIA 1290, FLORENCIO VARELA, Buenos Aires, Argentina",-58.2264608,-34.8299679,EjlDb25jb3JkaWEgMTI5MCwgQjE4ODlJRUQgQm9zcXVlcywgQnVlbm9zIEFpcmVzLCBBcmdlbnRpbmE
Buenos Aires,61138200,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 DR. VALENTÍN VERGARA,Estatal,Activo,Urbano,7 Y 33 S/N  ,1900,482-2293/5018,6441026,LA PLATA,LA PLATA,mt001001@abc.gov.ar; ma_battista@yahoo.com.ar; mt001001@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,True,False,False,06441,"7 Y 33 S/N  , LA PLATA, LA PLATA, Buenos Aires, Argentina","7 Y 33 S/N  , LA PLATA, LA PLATA, Buenos Aires, Argentina","7 Y 33 , LA PLATA, Buenos Aires, Argentina",-57.9682862,-34.9012646,ChIJH7yWkK7nopURrC4z49sR4o8
Buenos Aires,61138300,ESCUELA SECUNDARIA Nº12 MANUEL B GONNET,Estatal,Activo,Urbano,495 E/ CENTENARIO Y 15 BIS S/N  ,1897,471-2052/1336,6441057,MANUEL B. GONNET,LA PLATA,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06441,"495 E/ CENTENARIO Y 15 BIS S/N  , MANUEL B. GONNET, LA PLATA, Buenos Aires, Argentina","495 495 E/ CENTENARIO Y 15 BIS S/N  , MANUEL B. GONNET, LA PLATA, Buenos Aires, Argentina","495 495 E/ CENTENARIO Y 15 BIS , LA PLATA, Buenos Aires, Argentina",-58.0003624,-34.8821979,EktDYWxsZSAxMCBCaXMgJiBDYW1pbm8gQ2VudGVuYXJpbyA1MDcsIEIxODk3IEdvbm5ldCwgQnVlbm9zIEFpcmVzLCBBcmdlbnRpbmE
Buenos Aires,61138700,ESCUELA SECUNDARIA Nº16 HIPOLITO YRIGOYEN,Estatal,Activo,Urbano,AV. 66 E/ 153 Y 154 S/N  ,1900,450-1100/456177,6441053,LOS HORNOS,LA PLATA,secundaria16laplata@gmail.com,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06441,"AV. 66 E/ 153 Y 154 S/N  , LOS HORNOS, LA PLATA, Buenos Aires, Argentina","AV. 66 66 E/ 153 Y 154 S/N  , LOS HORNOS, LA PLATA, Buenos Aires, Argentina","AV. 66 66 E/ 153 Y 154 , LA PLATA, Buenos Aires, Argentina",-57.9824531,-34.9694484,EjdDYWxsZSAxNTMgJiBBdi4gNjYsIExvcyBIb3Jub3MsIEJ1ZW5vcyBBaXJlcywgQXJnZW50aW5h
Buenos Aires,61141100,ESCUELA PRIMARIA Nº26 SARGENTO. JUAN B. CABRAL,Estatal,Activo,Urbano,.AREVALO E/ LAMADRID Y CAMPOS 3480  LAS TUNAS,1617,45-2865,6805009,GENERAL PACHECO,TIGRE,epb26_tigre@yahoo.com.ar; opp0550026@abc.gov.ar,True,False,False,False,False,False,False,False,False,True,True,False,False,False,06805,".AREVALO E/ LAMADRID Y CAMPOS 3480  LAS TUNAS, GENERAL PACHECO, TIGRE, Buenos Aires, Argentina",".AREVALO 3480  LAS TUNAS, GENERAL PACHECO, TIGRE, Buenos Aires, Argentina",".AREVALO 3480, TIGRE, Buenos Aires, Argentina",-58.667163,-34.4424092,ChIJF8xEopWjvJUR7SKERnfHjt0
Buenos Aires,61141400,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº4,Estatal,Activo,Urbano,RICCHIERI Y NECOCHEA s/n  ,1702,4653-9264,6840005,CIUDADELA,TRES DE FEBRERO,ect4_3defebrero@yahoo.com.ar; mt117004@abc.gov.ar,True,False,False,False,False,False,False,False,False,False,True,True,False,False,06840,"RICCHIERI Y NECOCHEA s/n  , CIUDADELA, TRES DE FEBRERO, Buenos Aires, Argentina","RICCHIERI Y NECOCHEA s/n  , CIUDADELA, TRES DE FEBRERO, Buenos Aires, Argentina","RICCHIERI Y NECOCHEA , TRES DE FEBRERO, Buenos Aires, Argentina",-58.537496,-34.6235832,EklOZWNvY2hlYSAmIFR0ZS4gR3JhbC4gUmljY2hpZXJpLCBCMTcwMiBDaXVkYWRlbGEsIEJ1ZW5vcyBBaXJlcywgQXJnZW50aW5h
Buenos Aires,61141900,ESCUELA SECUNDARIA Nº7 GREGORIA MATORRAS,Estatal,Activo,Urbano,PASO E/GARCIA LORCA E/ RICHIERI Y AV. S/N  BARRIO EJ.DE L.ANDES,1702,4653-0515,6840005,CIUDADELA,TRES DE FEBRERO,mm117007@gmail.com,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06840,"PASO E/GARCIA LORCA E/ RICHIERI Y AV. S/N  BARRIO EJ.DE L.ANDES, CIUDADELA, TRES DE FEBRERO, Buenos Aires, Argentina","PASO E/GARCIA LORCA E/ RICHIERI Y AV. S/N  BARRIO EJ.DE L.ANDES, CIUDADELA, TRES DE FEBRERO, Buenos Aires, Argentina","PASO E/GARCIA LORCA E/ RICHIERI Y AV. , TRES DE FEBRERO, Buenos Aires, Argentina",,,
Buenos Aires,61142600,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº3 INGENIERO JUAN ALLAN,Estatal,Activo,Urbano,1201 ESQ 1288 4401  La Carolina,1891,49-3853,6274007,INGENIERO JUAN ALLAN,FLORENCIO VARELA,escuela_tecnica_3@yahoo.com.ar; omt0320003@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,True,False,False,06274,"1201 ESQ 1288 4401  La Carolina, INGENIERO JUAN ALLAN, FLORENCIO VARELA, Buenos Aires, Argentina","1201 ESQ 1288 4401  La Carolina, INGENIERO JUAN ALLAN, FLORENCIO VARELA, Buenos Aires, Argentina","1201 ESQ 1288 4401, FLORENCIO VARELA, Buenos Aires, Argentina",-58.1889688,-34.8673229,EkRDYWxsZSAxMjg4ICYgQ2FsbGUgMTIwMSwgSW5nZW5pZXJvIEouIEFsbGFuLCBCdWVub3MgQWlyZXMsIEFyZ2VudGluYQ
Buenos Aires,61143600,ESCUELA SECUNDARIA Nº8 JULIO CORTAZAR,Estatal,Activo,Urbano,AV. SAN MARTIN 2860  ,1888,4255-1266,6274005,FLORENCIO VARELA,FLORENCIO VARELA,mm0320208@hotmail.com; omm0320008@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06274,"AV. SAN MARTIN 2860  , FLORENCIO VARELA, FLORENCIO VARELA, Buenos Aires, Argentina","AV. SAN MARTIN 2860  , FLORENCIO VARELA, FLORENCIO VARELA, Buenos Aires, Argentina","AV. SAN MARTIN 2860, FLORENCIO VARELA, Buenos Aires, Argentina",-58.2780021,-34.8055269,Ek5Bdi4gR3JhbC4gSm9zw6kgZGUgU2FuIE1hcnTDrW4gMjg2MCwgRmxvcmVuY2lvIFZhcmVsYSwgQnVlbm9zIEFpcmVzLCBBcmdlbnRpbmE
